name,lat,lon,street,city
Bệnh Viện Đa Khoa Thăng Long,20.9542742,105.8384237,"Tựu Liệt, Tam Hiệp, Thanh Trì",Hà Nội
Paris Miki Vietnam,21.0492003,105.8400348,Phố Đức Chính,Hanoi
Trạm y tế xã Xuân Canh,21.0933795,105.8521434,,Hà Nội
Trung tâm y tế dự phòng quận Hà Đông,20.9677609,105.7789877,Tô Hiệu,
,20.921967,105.882146,,
Phòng khám Đa khoa Quốc tế Hà Nội,21.0101268,105.8382699,Phố Xã Đàn,Hà Nội
Nhà hộ sinh A,21.024432,105.8548261,Ngô Quyền,Hà Nội
Trạm Y tế xã Nghĩa Hương,20.9727604,105.6144225,,
Trạm Y tế Phụng Châu,20.9471543,105.7078282,Phượng Nghĩa,Hà Nội
Trung tâm Chăm sóc Sức khoẻ Người cao tuổi Hoa Sen - Lotus Care,21.039913,105.7472566,Phố Trịnh Văn Bô,
Nha Khoa,21.0651797,105.7628554,,
Phòng Khám Đa Khoa Medlatec,21.0472605,105.8140405,Phố Trích Sài,Phường Bưởi
Trung tâm tiêm ᴄhủng Fivevac,20.9301069,105.8481456,Đường Ngọc Hồi,Hanoi
Bệnh Viện Đa Khoa Quốc Tế Bắc Hà,21.0431119,105.8711851,,
Trạm Y Tế Phường KIến Hưng,20.960142,105.7884888,,
Trạm Y Tế Xã Kim An,20.8487843,105.7573208,,
Thu Cúc TCI Thanh Xuân,20.9992267,105.8141044,Nguyễn Trãi,Hà Nội
Trung tâm Nghiên cứu và Ứng dụng Y học cổ truyền CTA,21.0511017,105.790782,Ngõ 208 Trần Cung,Hà Nội
Bệnh viện Tuệ Tĩnh,20.984612,105.7928536,,
,20.9777275,105.9018259,,
,21.0689223,105.7616027,,
Trạm y tế Khương Hạ,20.9920389,105.8166469,,
,20.9245983,105.8885189,,
Nhà thuốc đông y Bùi Tộc,20.924333,105.8908793,,Thanh Trì
Bệnh viện Đại học Quốc gia Hà Nội,20.9908736,105.7965721,Đường Lương Thế Vinh,
Bệnh viện Quốc tế Dolife,21.0334322,105.7714164,Phố Nguyễn Hoàng,Hà Nội
